== process tree
python,182054 /home/slegrand/trt/duck-harness/ARC3-Inference/debug/trtllm_stall/launch_server.py --model-path /home/slegrand/.cache/huggingface/hub/models--vrfai--Qwen3.6-27B-FP8/snapshots/70462b01826175b3f45fa80065184167ddc973fb --served-model-name vrfai/Qwen3.6-27B-FP8 --host 0.0.0.0 --port 8000 --diag-file /home/slegrand/trt/logs/trtllm-diag-20260725-155958.jsonl
  |-prte,182523 --prtemca schizo prte --no-ready-msg --report-uri 81 --singleton singleton.laila.182054.0 --keepalive 82
  |   |-python,182542 -R -m mpi4py.futures.server
  |   |   |-python,185014 /home/slegrand/trt/trtllm-env/lib/python3.12/site-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=16 --parent=182542 --read-fd=81 --write-fd=84 --torch-key=NubfEjenZrynrUqFcsgGmGHjQT7e7KRfEnrVWxHzIQg=
  |   |   |   |-{python},185089
  |   |   |   `-{python},185126
  |   |   |-{python},182543
  |   |   |-{python},182544
  |   |   |-{python},182584
  |   |   |-{python},182585
  |   |   |-{python},182586
  |   |   |-{python},182587
  |   |   |-{python},182588
  |   |   |-{python},182589
  |   |   |-{python},182590
  |   |   |-{python},182591
  |   |   |-{python},182592
  |   |   |-{python},182593
  |   |   |-{python},182594
  |   |   |-{python},182595
  |   |   |-{python},182596
  |   |   |-{python},182597
  |   |   |-{python},182598
  |   |   |-{python},182700
  |   |   |-{python},182701
  |   |   |-{python},182702
  |   |   |-{python},182703
  |   |   |-{python},182704
  |   |   |-{python},182705
  |   |   |-{python},182706
  |   |   |-{python},182707
  |   |   |-{python},182708
  |   |   |-{python},182709
  |   |   |-{python},182710
  |   |   |-{python},182711
  |   |   |-{python},182712
  |   |   |-{python},182713
  |   |   |-{python},182714
  |   |   |-{python},182715
  |   |   |-{python},182716
  |   |   |-{python},182717
  |   |   |-{python},182718
  |   |   |-{python},182719
  |   |   |-{python},182720
  |   |   |-{python},182721
  |   |   |-{python},182722
  |   |   |-{python},182723
  |   |   |-{python},182724
  |   |   |-{python},182725
  |   |   |-{python},182726
  |   |   |-{python},182727
  |   |   |-{python},182728
  |   |   |-{python},182729
  |   |   |-{python},182730
  |   |   |-{python},182731
  |   |   |-{python},182857
  |   |   |-{python},182858
  |   |   |-{python},182859
  |   |   |-{python},182860
  |   |   |-{python},182861
  |   |   |-{python},182862
  |   |   |-{python},182863
  |   |   |-{python},182864
  |   |   |-{python},182865
  |   |   |-{python},183509
  |   |   |-{python},185015
  |   |   |-{python},185772
  |   |   |-{python},185773
  |   |   |-{python},185774
  |   |   |-{python},185775
  |   |   |-{python},185776
  |   |   `-{python},185928
  |   |-{prte},182524
  |   |-{prte},182525
  |   |-{prte},182526
  |   |-{prte},182527
  |   |-{prte},182528
  |   |-{prte},182529
  |   |-{prte},182530
  |   |-{prte},182531
  |   |-{prte},182532
  |   |-{prte},182533
  |   |-{prte},182534
  |   |-{prte},182535
  |   |-{prte},182536
  |   |-{prte},182537
  |   |-{prte},182538
  |   |-{prte},182539
  |   |-{prte},182540
  |   `-{prte},182541
  |-torch_shm_manag,185925
  |-{python},182208
  |-{python},182209
  |-{python},182273
  |-{python},182274
  |-{python},182275
  |-{python},182276
  |-{python},182277
  |-{python},182278
  |-{python},182279
  |-{python},182280
  |-{python},182281
  |-{python},182282
  |-{python},182283
  |-{python},182284
  |-{python},182285
  |-{python},182286
  |-{python},182287
  |-{python},182288
  |-{python},182289
  |-{python},182513
  |-{python},182514
  |-{python},182515
  |-{python},182516
  |-{python},182517
  |-{python},182518
  |-{python},182519
  |-{python},182520
  |-{python},182521
  |-{python},182522
  |-{python},185777
  |-{python},185778
  |-{python},185779
  |-{python},185780
  |-{python},185781
  |-{python},185899
  |-{python},185900
  |-{python},185901
  |-{python},185902
  |-{python},185903
  |-{python},185904
  |-{python},185905
  |-{python},185906
  |-{python},185907
  |-{python},185908
